status,title,artist,video_id,youtube_title,channel,length,score,query,url
matched,全因為祢,ACM HKACM,B9428ybwFCY,全因為祢（官方歌詞版MV） - 鄧婉玲,永恆音樂事工 Eternity Music Ministry,2:45,120,manual,https://www.youtube.com/watch?v=B9428ybwFCY
matched,愛是不保留,基恩敬拜 Amazing Grace Worship,sXca2wmw7Sk,《Worship From Home 微敬拜》系列 EP2 詩歌《愛是不保留》,Home Of Artists HK 藝人之家,4:12,112,愛是不保留 基恩敬拜 Amazing Grace Worship 官方 詩歌,https://www.youtube.com/watch?v=sXca2wmw7Sk
matched,讚美之泉,讚美之泉 Stream of Praise,x-DysGdCg4k,【讚美之泉 Stream of Praise】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (1),讚美之泉 Stream Of Praise Music Ministries,5:25,124,讚美之泉 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=x-DysGdCg4k
matched,耶和華祝福滿滿,讚美之泉 Stream of Praise,n1bDbq5X6Is,【耶和華祝福滿滿 Jehovah's Blessings Abound - 2001弦樂版】官方歌詞版MV (Official Lyrics MV) - 讚美之泉台語敬拜讚美 (1),讚美之泉 Stream Of Praise Music Ministries,5:32,124,耶和華祝福滿滿 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=n1bDbq5X6Is
matched,彩虹下的約定,讚美之泉 Stream of Praise,cyo4B6MsK3g,【彩虹下的約定 The Covenant Under the Rainbow】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (4),讚美之泉 Stream Of Praise Music Ministries,3:59,124,彩虹下的約定 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=cyo4B6MsK3g
matched,生命的凱歌,讚美之泉 Stream of Praise,ivPWBePtk2Y,【生命的凱歌 Victorious Life】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (2),讚美之泉 Stream Of Praise Music Ministries,5:04,124,生命的凱歌 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=ivPWBePtk2Y
matched,祢是我生命的亮光,讚美之泉 Stream of Praise,W2GPoBX3N3w,诗歌敬拜 | 詩歌敬拜-你是我生命的亮光| -回家專輯：《我心旋律》,颂赞诗歌 | 頌讚詩歌,5:29,100,祢是我生命的亮光 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=W2GPoBX3N3w
matched,全能的創造主,讚美之泉 Stream of Praise,z4H3FhcvduY,【全能的創造主 Wonderful Creator】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (6),讚美之泉 Stream Of Praise Music Ministries,5:05,124,全能的創造主 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=z4H3FhcvduY
matched,祢是信實的上帝,讚美之泉 Stream of Praise,C6HSl4Nhgdg,【祢是信實的上帝 You Are A Faithful God】官方歌詞版MV (Official Lyrics MV) - 讚美之泉台語敬拜讚美 (1),讚美之泉 Stream Of Praise Music Ministries,3:32,124,祢是信實的上帝 讚美之泉 Stream of Praise 敬拜,https://www.youtube.com/watch?v=C6HSl4Nhgdg
matched,我們愛讓世界不一樣,讚美之泉 Stream of Praise,fUijjKO3lYU,【我們愛 (讓世界不一樣) We Will Love (We Can Make a Difference)】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (13),讚美之泉 Stream Of Praise Music Ministries,5:17,124,我們愛讓世界不一樣 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=fUijjKO3lYU
matched,你愛永不變,讚美之泉 Stream of Praise,U_D3qRW-M9A,【我對祢的愛永不變 My Love for You Will Never Change】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (4),讚美之泉 Stream Of Praise Music Ministries,5:03,86,你愛永不變 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=U_D3qRW-M9A
matched,主祢是我力量,讚美之泉 Stream of Praise,4Of5ajwoCxQ,【主祢是我力量 You Are My Strength】敬拜MV - 讚美之泉兒童敬拜讚美 (6),讚美之泉 Stream Of Praise Music Ministries,3:12,124,主祢是我力量 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=4Of5ajwoCxQ
matched,每一天我需要祢,讚美之泉 Stream of Praise,IBeDhW5uET0,【每一天我需要祢 I Need You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (21),讚美之泉 Stream Of Praise Music Ministries,5:50,124,每一天我需要祢 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=IBeDhW5uET0
matched,展開清晨的翅膀,讚美之泉 Stream of Praise,xugw9VE0pjc,【展開清晨的翅膀 Wings of the Dawn】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (7),讚美之泉 Stream Of Praise Music Ministries,5:23,124,展開清晨的翅膀 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=xugw9VE0pjc
matched,祢的愛不離不棄,讚美之泉 Stream of Praise,-kHB_L11P_U,你的愛不離不棄,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship,6:03,100,祢的愛不離不棄 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=-kHB_L11P_U
matched,祢使我生命美麗,讚美之泉 Stream of Praise,-3klPYCsIFs,【祢使我生命美麗 You Have Made My Life Beautiful】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (12P),讚美之泉 Stream Of Praise Music Ministries,4:40,124,祢使我生命美麗 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=-3klPYCsIFs
matched,這裡有榮耀,讚美之泉 Stream of Praise,V7MIkQD7fvg,【這裡有榮耀 Glory】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (19),讚美之泉 Stream Of Praise Music Ministries,4:01,124,這裡有榮耀 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=V7MIkQD7fvg
matched,我要看見,讚美之泉 Stream of Praise,kYHmfN8tXPM,【我要看見 I Want to See】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (21),讚美之泉 Stream Of Praise Music Ministries,5:03,124,我要看見 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=kYHmfN8tXPM
matched,我要全心讚美,讚美之泉 Stream of Praise,Bs-pQZ9b0OU,"【我要全心讚美 My Heart Will Praise You, Lord】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (15)",讚美之泉 Stream Of Praise Music Ministries,3:07,124,我要全心讚美 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=Bs-pQZ9b0OU
matched,更深之處,讚美之泉 Stream of Praise,08YrvyT5HHs,【更深之處 Take Me Deeper】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (21),讚美之泉 Stream Of Praise Music Ministries,5:59,124,更深之處 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=08YrvyT5HHs
matched,親愛主,小羊詩歌 Lamb Music,QuFgSKly2JY,"小羊詩歌-親愛主聽我禱告 (Lamb Music: Dear LORD, hear my prayer)",Garden of Perfume,3:19,124,親愛主 小羊詩歌 Lamb Music 官方 詩歌,https://www.youtube.com/watch?v=QuFgSKly2JY
matched,求主給我一顆心,小羊詩歌 Lamb Music,ZzL8VSHq2q0,296 求主给我一颗心 Sydney 2014,小敏迦南詩歌 Xiaomin Canaan Hymns,2:41,120,manual,https://www.youtube.com/watch?v=ZzL8VSHq2q0
matched,主我跟祢走,小羊詩歌 Lamb Music,u9o2q1NfE6c,"【主我跟祢走 Lord, I Walk With You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (10)",讚美之泉 Stream Of Praise Music Ministries,4:11,112,主我跟祢走 小羊詩歌 Lamb Music 官方 詩歌,https://www.youtube.com/watch?v=u9o2q1NfE6c
matched,盟約,小羊詩歌 Lamb Music,jckdCARnl5c,【中英字幕】盟約 | 小羊詩歌《盟約》專輯,小羊詩歌,5:13,112,盟約 小羊詩歌 Lamb Music 官方 詩歌,https://www.youtube.com/watch?v=jckdCARnl5c
matched,有一位神,生命河靈糧堂 River of Life,b3oivk4W7EY,【有一位神 There Is A God】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (1),讚美之泉 Stream Of Praise Music Ministries,5:44,100,有一位神 生命河靈糧堂 River of Life 官方 詩歌,https://www.youtube.com/watch?v=b3oivk4W7EY
matched,如鷹展翅上騰,生命河靈糧堂 River of Life,kh90L85WW7w,【如鷹展翅上騰】 (River Of Life Christian Church) 歌詞版 (Lyrics) - 敬拜詩歌,Faith In Christ,6:04,124,如鷹展翅上騰 生命河靈糧堂 River of Life 敬拜,https://www.youtube.com/watch?v=kh90L85WW7w
matched,從早晨到夜晚,生命河靈糧堂 River of Life,QvfB1-FpfWk,【從早晨到夜晚 Morning to Night】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (22),讚美之泉 Stream Of Praise Music Ministries,5:55,100,從早晨到夜晚 生命河靈糧堂 River of Life 官方 詩歌,https://www.youtube.com/watch?v=QvfB1-FpfWk
matched,神羔羊配得,生命河靈糧堂 River of Life,eVGtl90Siy8,約書亞樂團 -【神羔羊配得 / Worthy is the Lamb 】,Joshua Band 約書亞樂團,6:09,92,神羔羊配得 生命河靈糧堂 River of Life 官方 詩歌,https://www.youtube.com/watch?v=eVGtl90Siy8
matched,聖靈請祢來,生命河靈糧堂 River of Life,IjufasfZ9hE,聖靈請你來,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship,8:00,120,manual,https://www.youtube.com/watch?v=IjufasfZ9hE
matched,主我敬拜祢,生命河靈糧堂 River of Life,j8pQHrnc348,"【主我敬拜祢 Lord, I Worship You / 哈利路亞 Hallelujah】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (3)",讚美之泉 Stream Of Praise Music Ministries,6:54,100,主我敬拜祢 基督教 詩歌,https://www.youtube.com/watch?v=j8pQHrnc348
matched,將天敞開,約書亞樂團 Joshua Band,kxGQ7LV4DKQ,【將天敞開/行神蹟的神/一生敬拜祢/這是聖潔之地】｜讚美之泉《天堂敬拜 LIVE》,讚美之泉 Stream Of Praise Music Ministries,26:10,98,將天敞開 約書亞樂團 Joshua Band 官方 詩歌,https://www.youtube.com/watch?v=kxGQ7LV4DKQ
matched,坐在寶座上聖潔羔羊,約書亞樂團 Joshua Band,M1ol9T8A8BA,坐在寶座上聖潔羔羊,Joshua Chang,3:48,104,坐在寶座上聖潔羔羊 約書亞樂團 Joshua Band 官方 詩歌,https://www.youtube.com/watch?v=M1ol9T8A8BA
matched,榮美的救主,約書亞樂團 Joshua Band,ZPVChPb5J7Q,約書亞樂團 -【 榮美的救主 / Beautiful Savior 】官方歌詞MV,Joshua Band 約書亞樂團,6:05,124,榮美的救主 約書亞樂團 Joshua Band 官方 詩歌,https://www.youtube.com/watch?v=ZPVChPb5J7Q
matched,我相信,約書亞樂團 Joshua Band,Eo3k93nbm2M,約書亞樂團 -【 我相信 / Believe 】官方歌詞MV,Joshua Band 約書亞樂團,6:59,124,我相信 約書亞樂團 Joshua Band 敬拜,https://www.youtube.com/watch?v=Eo3k93nbm2M
matched,深深愛祢,約書亞樂團 Joshua Band,k_S6gYOrjdQ,【深深愛祢 Deeper In Love】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (9),讚美之泉 Stream Of Praise Music Ministries,4:00,100,深深愛祢 約書亞樂團 Joshua Band 官方 詩歌,https://www.youtube.com/watch?v=k_S6gYOrjdQ
matched,我願意,約書亞樂團 Joshua Band,zUQ10Xc1Q9g,【我願意為祢 / For You I’m Willing】Acoustic Live 官方歌詞MV - 約書亞樂團、璽恩 SiEnVanessa,Joshua Band 約書亞樂團,4:47,122,我願意 約書亞樂團 Joshua Band 官方 詩歌,https://www.youtube.com/watch?v=zUQ10Xc1Q9g
matched,耶穌恩友,傳統聖詩,2dT345Crytk,耶穌恩友  傳統詩歌 (宇宙光百人大合唱)  片長：2分37秒,詩歌頌讚,2:38,100,耶穌恩友 傳統聖詩 官方 詩歌,https://www.youtube.com/watch?v=2dT345Crytk
matched,因祂活著,傳統聖詩,BQm6FAH_A-k,KUA WORSHIP【因祂活著 / 祢是聖潔 喔主 / 因祢十架】KUA敬拜團,KUA GLOBAL 跨越,19:46,100,因祂活著 傳統聖詩 官方 詩歌,https://www.youtube.com/watch?v=BQm6FAH_A-k
matched,奇異恩典,傳統聖詩,q07cZpNEwFs,奇異恩典，基督教經典讚美詩歌,美圖悅主,4:10,100,奇異恩典 傳統聖詩 官方 詩歌,https://www.youtube.com/watch?v=q07cZpNEwFs
matched,有福的確據,傳統聖詩,N7Rdlp3GLEE,【有福的確據】動態歌詞版＊＊祢是我一切 ( 天韻與聖詩的頌讚 ) 天韻合唱團 Official MV,天韻合唱團 Heavenly Melody,3:11,100,有福的確據 傳統聖詩 官方 詩歌,https://www.youtube.com/watch?v=N7Rdlp3GLEE
matched,我要向高山舉目,讚美詩歌,bhS0D7Gd-Ek,【我要向高山舉目 Lift My Eyes to the Hills】敬拜MV - 讚美之泉兒童敬拜讚美 (1),讚美之泉 Stream Of Praise Music Ministries,3:21,100,我要向高山舉目 讚美詩歌 敬拜,https://www.youtube.com/watch?v=bhS0D7Gd-Ek
matched,最知心的朋友,讚美詩歌,hpXn8646wA8,最知心的朋友 My Dearest Friend 小敏 / 讚美靈修音樂 （翻新動態視頻）,立約敬拜 Promise Worship,5:18,100,最知心的朋友 讚美詩歌 官方 詩歌,https://www.youtube.com/watch?v=hpXn8646wA8
matched,主啊我到祢面前,讚美詩歌,xmC0KwK-7y8,好聽中文詩歌《主啊我到你面前》唐瑛琦-願我一生蒙你悅納（附歌詞）,Faith Flower Floral信心花舍,4:38,100,主啊我到祢面前 讚美詩歌 官方 詩歌,https://www.youtube.com/watch?v=xmC0KwK-7y8
matched,牽我手,盛曉玫 Amy Sand,LfEs9KzOji4,牽我手 Hold My Hand 盛曉玫 Amy Sand 泥土音樂專輯 2：有一天,泥土音樂Clay Music,3:06,120,manual,https://www.youtube.com/watch?v=LfEs9KzOji4
matched,腳步,盛曉玫 Amy Sand,xfXiROE1BdY,腳步（盛曉玫 含經文 國語詩歌 泥土音樂授權）,HALLELUYA MEDIA,4:23,112,腳步 盛曉玫 Amy Sand 官方 詩歌,https://www.youtube.com/watch?v=xfXiROE1BdY
matched,祢的恩典夠我用,讚美之泉 Stream of Praise,v76-wz1mv8w,【祢的恩典夠我用 Your Grace Is Enough】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (23),讚美之泉 Stream Of Praise Music Ministries,4:35,124,祢的恩典夠我用 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=v76-wz1mv8w
matched,天父的花園,讚美之泉 Stream of Praise,O5NB4bcPWIk,【天父的花園 Father's Garden】敬拜MV - 讚美之泉兒童敬拜讚美 (2),讚美之泉 Stream Of Praise Music Ministries,2:46,124,天父的花園 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=O5NB4bcPWIk
matched,主的喜樂是我力量,讚美之泉 Stream of Praise,MEHMGqHh9ZY,【主的喜樂是我力量 The Joy of the Lord is My Strength】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (9),讚美之泉 Stream Of Praise Music Ministries,4:17,124,主的喜樂是我力量 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=MEHMGqHh9ZY
matched,尊貴全能神,讚美之泉 Stream of Praise,ouG12IsjTNU,【叫我抬起頭的神 The Lifter of My Head / 尊貴全能神 Almighty God】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (16),讚美之泉 Stream Of Praise Music Ministries,7:16,124,尊貴全能神 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=ouG12IsjTNU
matched,我心屬於祢,讚美之泉 Stream of Praise,qJ1bqBNnbXA,詩歌【我心屬於祢】樂筆手寫歌詞 Worship Song Lyrics Calligraphy,樂筆 x 日光實驗室,5:27,100,我心屬於祢 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=qJ1bqBNnbXA
matched,永遠尊貴,讚美之泉 Stream of Praise,-ZnOCvRnwaQ,【永遠尊貴 All Honor To You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (12A),讚美之泉 Stream Of Praise Music Ministries,5:38,124,永遠尊貴 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=-ZnOCvRnwaQ
matched,我要唱耶和華的大慈愛,讚美之泉 Stream of Praise,j_UqaoQQLn0,C16我要唱耶和華的大慈愛,Edison團契詩歌,1:34,100,我要唱耶和華的大慈愛 基督教 詩歌,https://www.youtube.com/watch?v=j_UqaoQQLn0
matched,祢是我的一切,讚美詩歌,ILEjpfTxAeg,天堂敬拜~祢是我的一切（單曲）,GOOD TV DAILY,4:13,100,祢是我的一切 讚美詩歌 官方 詩歌,https://www.youtube.com/watch?v=ILEjpfTxAeg
matched,主如明亮晨星,讚美詩歌,OWcZbluzbZM,【主如明亮晨星】Christ as a Bright Morning Star│詞曲：周裕豐牧師│鋼琴：gracehome251│頌唱：Teresa Huang│#基督教傳統經典詩歌,Teresa古今詩歌Hymns♬,2:51,100,主如明亮晨星 讚美詩歌 官方 詩歌,https://www.youtube.com/watch?v=OWcZbluzbZM
matched,耶和華靠近傷心的人,讚美詩歌,aC8cit9xERY,【耶和華靠近傷心的人 The Lord Is Close to the Broken】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (13),讚美之泉 Stream Of Praise Music Ministries,4:31,100,耶和華靠近傷心的人 讚美詩歌 官方 詩歌,https://www.youtube.com/watch?v=aC8cit9xERY
matched,祢愛的大能,讚美詩歌,w2JRIQt8jNg,有情天音樂事工 - 你愛的大能,GOOD TV DAILY,4:48,120,manual,https://www.youtube.com/watch?v=w2JRIQt8jNg
matched,讓我,讚美詩歌,0SDpQxoLS64,讓我 官方歌詞版｜新店行道會敬拜讚美,新店行道會 TOPCHURCH,5:54,100,讓我 讚美詩歌 官方 詩歌,https://www.youtube.com/watch?v=0SDpQxoLS64
matched,我在這裡,讚美詩歌,dK2rSkmWEzA,【我在這裡 Here I Am】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (25),讚美之泉 Stream Of Praise Music Ministries,7:09,100,我在這裡 讚美詩歌 官方 詩歌,https://www.youtube.com/watch?v=dK2rSkmWEzA
matched,耶穌我愛祢,讚美詩歌,usHsWo5sY0U,【耶穌我愛祢 Jesus I Love You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (12A),讚美之泉 Stream Of Praise Music Ministries,4:42,100,耶穌我愛祢 讚美詩歌 官方 詩歌,https://www.youtube.com/watch?v=usHsWo5sY0U
matched,我的神我要敬拜祢,讚美詩歌,_aKNV1az0rs,我的神我要敬拜你 -  詩集：我心旋律,立約敬拜 Promise Worship,4:22,100,我的神我要敬拜祢 讚美詩歌 官方 詩歌,https://www.youtube.com/watch?v=_aKNV1az0rs
skipped_existing,讓讚美飛揚,讚美之泉 Stream of Praise,,,,,,,
skipped_existing,我要一心稱謝祢,讚美之泉 Stream of Praise,,,,,,,
skipped_existing,一生愛你,小羊詩歌 Lamb Music,,,,,,,
skipped_existing,我以禱告來到祢跟前,小羊詩歌 Lamb Music,,,,,,,
skipped_existing,如鹿切慕溪水,傳統聖詩,,,,,,,
skipped_existing,這一生最美的祝福,讚美詩歌,,,,,,,
skipped_existing,寶貴十架,讚美之泉 Stream of Praise,,,,,,,
skipped_existing,祢是配得,讚美之泉 Stream of Praise,,,,,,,
skipped_existing,我需要有祢在我生命中,讚美詩歌,,,,,,,
