old_number,title,video_id,youtube_title,tpmac_source_date,tpmac_source_url,anchor_rate,common_rate,reason
HYMN-003,感恩祭,IbU42dENe2M,感恩祭,20230402,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230402_worship.pdf,0,0.1744,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-013,美哉主耶穌,uE_HAcwlxL8,美哉主耶穌,20220410,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220410_worship.pdf,0.0045,0.363,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-014,讚美耶和華,_I4wvMSOiw8,【讚美耶和華  Praise The Lord】官方歌詞版MV (Official Lyrics MV) - 讚美之泉台語敬拜讚美 (1),20220102,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220102_worship.pdf,0.0054,0.3036,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-016,同證主恩,ycl3KkFSe6U,同證主恩 sensorMusic (Demo)｜ 原創詩歌 粵語詩歌 詩歌敬拜,20231008,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20231008_worship.pdf,0,0.3811,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-018,活出愛,xn0llwzGmTE,范瑋琪 + 蘇以樂 + 蘇以行 + 蔡語涵 + 蔡岳辰 - 活出愛 Love Life (官方歌詞版) - 『LOVE LIFE』公益主題曲,20210912,https://www.tpmac.org/images/data/TPMAC_Files/worship/2021/booklet/20210912_worship.pdf,0,0.5128,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-021,稱頌上主,XfEgUshJAmg,【稱頌上主】,20210718,https://www.tpmac.org/images/data/TPMAC_Files/worship/2021/booklet/20210718_worship.pdf,0,0.25,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-029,在主前靜默,5oTLWdZ6m58,[ 在主前靜默 Be still for the presence of the Lord ] - Cover ft. 簡愛 Christine Chien,20241006,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20241006_worship.pdf,0.0103,0.3636,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-040,真神之愛,_8JkN8A5ukc,【真神之愛】The Love of God│《生命聖詩》 第41首│詞曲 : Frederick M. Lehman│鋼琴：gracehome251│頌唱：Teresa Huang,20220522,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220522_worship.pdf,0,0.4875,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-046,衷心稱頌上主,zIxxulCf9hg,衷心稱頌上主 ( 粵語，練習版  ),20240211,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20240211_worship.pdf,0,0.0388,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-065,我們的神,kvrRtRe9AoU,【我們的神 You Are Our God】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (27),20250914,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250914_worship.pdf,0.0085,0.5149,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-070,我高舉祢的名,UbspCrEwMDA,上敬拜Shang Worshippers -主我高舉你的名 Lord I Lift Your Name On High（f.t 黃美珍JANE / 劉文瀚Yusof）,20260426,https://www.tpmac.org/images/data/TPMAC_Files/worship/2026/20260426_worship.pdf,0.0082,0.2961,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-076,有一位神,evguKWXIbjM,有一位神,20250831,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250831_worship.pdf,0,0.0769,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-079,永活基督,jPNcVV2TSCs,永活基督  普天頌讚新修訂版第274首  吳仲廉,20220508,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220508_worship.pdf,0,0.2989,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-081,永遠尊貴,-ZnOCvRnwaQ,【永遠尊貴 All Honor To You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (12A),20220501,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220501_worship.pdf,0,0.2632,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-082,治萬方,XnJyM4VGaFc,主治萬方 Jesus Shall Reign Where'er the Sun｜生命聖詩16（國語）,20231112,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20231112_worship.pdf,0,0.0991,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-087,給我子女名份,a3DiWZScTSU,主給我子女名份/ 盡心盡性讚美祂,20210801,https://www.tpmac.org/images/data/TPMAC_Files/worship/2021/booklet/20210801_worship.pdf,0.0129,0.2976,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-088,美哉錫安,3VWBvV6yisI,美哉錫安,20230709,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230709_worship.pdf,0,0.2983,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-103,遵主教導,WJm719-bz_I,委身遵主教導而行 • Pon en práctica las enseñanzas del Señor,20230108,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230108_worship.pdf,0,0.1744,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-104,慈愛長存,SIVcv8xcJmQ,《慈愛長存》 (粵) 原創詩歌,20220807,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220807_worship.pdf,0.0126,0.344,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-126,全能真神,_rJJsC4GYPE,Live Worship【宣告耶穌／我敬拜祢全能真神】CROSSMAN,20250323,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250323_worship.pdf,0,0.3824,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-132,古舊十架,C9Iz8bliBwc,【古舊十架 The Old Rugged Cross】生命聖詩Hymns of Life120  ENG SUB + Chinese Pinyin～歌词见⬇️,20221106,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20221106_worship.pdf,0,0.1034,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-134,向君王歡呼,8TcnV9VjJvg,向君王歡呼,20260329,https://www.tpmac.org/images/data/TPMAC_Files/worship/2026/20260329_worship.pdf,0,0.3433,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-137,君尊僕人,euFEoIYNcA4,君尊僕人｜2023年大齋期詩歌分享,20240901,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20240901_worship.pdf,0,0.3423,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-141,因祂活著,Mk_wb6RvHM8,因祂活著 (國語) Hymn: Because He Lives,20230409,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230409_worship.pdf,0,0.0403,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-150,奇妙的愛,ULyb-F9dJjM,【奇妙的愛 / What He Has Done For Me】官方歌詞MV - 約書亞樂團 ft. 璽恩 SiEnVanessa,20240714,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20240714_worship.pdf,0.0052,0.1641,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-152,如此認識我,nqNRef8sAnw,角聲使團 The Heralders《如此認識我》[Official Lyric Video],20250831,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250831_worship.pdf,0.0057,0.1385,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-156,恩主美善愛眷,qFTOV4wcZY4,恩主美善愛眷 （所有美善力量 - 廣東話）By Gentle Powers (Von guten Mächten wunderbar geborgen) - 點解聖詩講座頌唱會(七)「聖詩故事(下)」,20221211,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20221211_worship.pdf,0.0097,0.44,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-162,聖哉全能主,ENRSR0phtxs,聖哉全能主-小羊詩歌(一粒麥子),20240310,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20240310_worship.pdf,0.0051,0.2615,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-163,與神同行,QzdcleDl7mY,阡陌社區浸信會  原創詩歌《與神同行》【Official Lyrics MV】,20251130,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20251130_worship.pdf,0,0.4248,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-168,全獻在壇上,UR_k4KSJjmw,全獻在壇上  青年聖歌合訂本第一册 第52首,20231231,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20231231_worship.pdf,0.0083,0.4268,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-197,有福的人,tGjYQ6f-Pqg,【中英字幕】有福的人 | F調 | 小羊詩歌,20240616,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20240616_worship.pdf,0,0.116,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-200,每天的禱告,mnMhfwq4QwA,每天的禱告 - 澆灌園子音樂事工,20240811,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20240811_worship.pdf,0.0057,0.2768,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-204,注目看耶穌,u1V5BpkHhEQ,【讚美之泉/注目看耶穌/愛，我願意/更深之處/Thou Art Worthy 主祢配得】｜讚美之泉 《天堂敬拜 ACOUSTIC》,20230319,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230319_worship.pdf,0.0017,0.2131,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-206,獨一的真神,RnLhO50LSwU,獨一的真神 One True God (新心音樂事工),20230129,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230129_worship.pdf,0.0054,0.2984,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-228,耶和華尼西,ZhCk1rgIAJ8,耶和華尼西 | 李漫渟 Manting(Deborah) Lee | 原始和聲 Raw Harmony | 歌詞MV,20250615,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250615_worship.pdf,0.0071,0.2793,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-232,萬國讚美,bxghhrxuvbU,【萬國讚美 / All Nations Praise】邵益波/《獻上》共同創作專輯,20251109,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20251109_worship.pdf,0,0.371,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-237,獻上頌讚,7akSZyq4PpA,獻上頌讚（粵語詩歌）,20210711,https://www.tpmac.org/images/data/TPMAC_Files/worship/2021/booklet/20210711_worship.pdf,0,0.1742,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-245,祢坐著為王,vPEGa8KGZmI,你坐著為王 You Sit On The Throne 生命河敬拜讚美系列 2 動態 MV,20250622,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250622_worship.pdf,0.0085,0.4943,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-251,耶和華是愛,z-SF-RvTF5Q,【詩歌】耶和華是愛（詩篇23篇）,20250209,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250209_worship.pdf,0.0064,0.3153,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-253,耶穌不改變,kFJpJs0y2ck,"【耶穌不改變】Yesterday,Today,Forever│詞：Albert B. Simpson│曲：J. H. Burke│鋼琴：朱素雲│頌唱：Teresa Huang#WorshipSongs",20220703,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220703_worship.pdf,0.0074,0.5,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-255,耶穌的愛,RVA_Le5AJtk,【耶穌的愛 The Love of Jesus】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (12P),20250309,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250309_worship.pdf,0.0055,0.2857,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-274,最好的福氣,HcpvUZoIv70,角聲使團 The Heralders《最好的福氣》[Official Lyric Video],20240519,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20240519_worship.pdf,0.0052,0.1397,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-279,聖潔耶穌,U2gJD4kpsSw,"啊 ! 聖潔耶穌 Ah, Holy Jesus - 第八屆聖詩頌唱會「耶穌基督　道路、真理、生命」",20260329,https://www.tpmac.org/images/data/TPMAC_Files/worship/2026/20260329_worship.pdf,0.0064,0.2719,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-280,萬有高歌,meZVDWLfg0s,萬有高歌 Let All Creation Sing,20240728,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20240728_worship.pdf,0,0.2778,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-283,請差遣我,0zsxMkeEOL0,【我在這請差遣我 - 白裡透紅】官方歌詞MV | 好音樂金傳獎,20220731,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220731_worship.pdf,0,0.2568,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-310,尊主偉大,qrIGqu4u1J8,【4K粵語原創聖誕歌】尊主偉大 Magnificat (馬利亞 尊主頌) - 2021 聖誕聖詩頌唱會,20230219,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230219_worship.pdf,0,0.4384,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-313,真光耀照,FwAsPrgNYiE,HeArtz 翻譯詩歌《真光耀照》【動態歌詞Lyrics Video】,20220109,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220109_worship.pdf,0.0114,0.25,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-339,新的一天,PjzutOwFo6s,【新的一天 A Brand New Day】敬拜MV - 讚美之泉兒童敬拜讚美 (7),20260118,https://www.tpmac.org/images/data/TPMAC_Files/worship/2026/20260118_worship.pdf,0,0.4429,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-340,新的方向,HwG387vpsVg,【得勝的歌 /  新的異象，新的方向 /  一生敬拜祢 /  能不能 / 十字架】｜讚美之泉《天堂敬拜 TOUR LIVE》,20260104,https://www.tpmac.org/images/data/TPMAC_Files/worship/2026/20260104_worship.pdf,0.0136,0.4667,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-341,有福的確據,6xe1MgnKQuc,【有福的確據 Blessed Assurance】生命聖詩414  ENG SUB / Chinese / Pinyin ⬇️描述,20241110,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20241110_worship.pdf,0.0047,0.0551,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-374,是我異象,vkNxpcQdB10,你是我異象 Be Thou My Vision [列國馨香] Alvan Jiing,20230604,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230604_worship.pdf,0,0.1429,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-375,無價至寶,ymKB9XqkQuE,無價至寶 Priceless [約書亞大衛帳幕的榮耀專輯 - 恢復榮耀],20231119,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20231119_worship.pdf,0,0.5567,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-379,祢是我力量,izOAxx2bRIc,【主祢是我力量 You Are My Strength】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (11P),20220313,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220313_worship.pdf,0.0055,0.2917,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-411,哈利路亞,A5zmSVyqxUA,哈利路亞 | 小羊詩歌《願祢的國降臨》專輯,20250126,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250126_worship.pdf,0,0.1443,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-415,聖誕佳音,Zgau0NSws1M,#132聖誕佳音-陳盈君,20241222,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20241222_worship.pdf,0,0.2573,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-420,在祢殿中,kdmiKMbn6ig,【中英字幕】在祢殿中 | 小羊詩歌 · 基音原創《聲合為一》專輯,20241027,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20241027_worship.pdf,0.0043,0.2164,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-421,在祢面前蒙悅納,1FpP1binbLA,同心圓 |《在祢面前蒙悅納》TWS 敬拜者使團「獻給祢」專輯Live (詩十九),20210829,https://www.tpmac.org/images/data/TPMAC_Files/worship/2021/booklet/20210829_worship.pdf,0.0058,0.3673,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-423,如鷹展翅,qF3RADPSlDs,如鷹展翅上騰 I’ll Soar Like an Eagle (生命河敬拜讚美系列4：如鷹展翅上騰) 小組敬拜用,20210711,https://www.tpmac.org/images/data/TPMAC_Files/worship/2021/booklet/20210711_worship.pdf,0.0101,0.3913,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-424,無名的傳道者,xlUFRsPezIw,無名的傳道者（粵語）,20251130,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20251130_worship.pdf,0,0.0759,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-428,最美好的仗,p3M4V2Q0FUc,【最美好的仗】HKACM Official Music Video,20230430,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230430_worship.pdf,0.0052,0.3282,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-431,歡笑感恩,uiuWu_d4OPM,歡笑感恩﹣齊唱兒歌DVD (官方動作版),20240519,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20240519_worship.pdf,0.0132,0.4,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
